BOTTLE,20091221PRINUNIVRMK
# 12/17/2009 Initialized README file 
# Cruise dates: 4/1 - 10/19/1981 
# Chief Scientist: P.Brewer, J.Sarmiento, L.Armi, W.Broecker, T.Takahashi, W.Jenkins, P.Brewer 
# Ship and cruise designation: Knorr; TTONAS_1,2,3,4,5,6,7 
# EXPOCODE: TTONAS 
# 247 full depth stations;  with ?? place Rosette 
# Hydro: Who - ; Status - ; S Plus -  
# 	Notes: 	 
# Nuts/O2: Who - ; Status - ; S Plus -  
# 	Notes  
# TCO2: Who - P.Brewer, T.Takahashi; Status - ; S Plus -  
# 	Notes:  
# TA: Who - ; Status - ; S Plus - 
# 	Notes:  
# fCO2: Who - f; Status - ; S Plus -  
# 	Notes:  
# pH25: Who - ; Status - ; S Plus -   
# 	Notes:  
# CFC: Who - ; Status - ; S Plus -  
# 	Notes:    
# C-14: Who - G.Ostlund; Status - ; S Plus -  
# 	Notes:  
# C-13: Who - ; Status - ; S Plus -  
# 	Notes:  
# H-3/He-3: Who -  ; Status -  ; S Plus -   
# 	Notes:  
# Other:  
# References: 
# Brewer, P. G., A. L. Bradshaw, R. T. Williams. 1986. Measurements of total carbon dioxide and alkalinity in the North Atlantic Ocean in 1981. In: Trabalka J. R., and D. E. Reichle (eds.), The Changing Carbon Cycle: A Global Analysis. Springer, New York, pp. 348-370. 
# Ostlund, H. G., and C. Grall. 1987. North and Tropical Atlantic tritium and radiocarbon. Tritium Laboratory Data Report No. 16, R.S.M.A.S., Univ. Miami, Miami, FL, 277pp. 
# ODF. 1986a. Transient Tracers in the Ocean North Atlantic Study, Shipboard physical and chemical data report. Physical and Chemical Oceanographic Data Facility, Scripps Inst. Ocean. PACODF Publication No 221, SIO Reference 86-15, 714pp. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDTMP_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITUM,TRITER,HELIUM,DELHE3,DELC14,C14ERR,DELC14_FLAG_W,RA-226,RA-226E,RA-226_FLAG_W,RA-228,RA-228E,RA-228_FLAG_W,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,TU,TU,NMOL/KG,PERCNT,O/OO,O/OO,,DPM/100KG,DPM/100KG,,DPM/100KG,DPM/100KG,,,,,DEG C
        TTONAS,     1,  2,     27,2,19810402,0000, 39.8050, -70.0820, 1172,     11.0,  11.2670,2,  35.1990,2,    263.0,2,     5.30,2,     8.40,2,     0.23,2,     0.61,2,   2106.0,2,   2352.0,2, -999.000, -999.000,  41.5900,    -8.70,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,  11.2656
        TTONAS,     1,  2,     28,2,19810402,0000, 39.8050, -70.0820, 1172,     55.0,  11.2210,2,  35.1850,2,    260.0,2,     5.40,2,     8.50,2,     0.23,2,     0.63,2,   2108.0,2,   2354.0,2,    5.140,    0.070,  40.0400,   -11.10,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,  11.2142
        TTONAS,     1,  2,     29,2,19810402,0000, 39.8050, -70.0820, 1172,    156.0,  12.6550,2,  35.6570,2,    234.0,2,     5.40,2,     9.90,2,     0.24,2,     0.70,2,   2125.0,2,   2378.0,2,    4.180,    0.070,  39.4800,    -0.40,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,  12.6338
        TTONAS,     1,  2,     30,2,19810402,0000, 39.8050, -70.0820, 1172,    307.0,   8.5550,2,  35.1320,2,    156.0,2,    14.60,2,    23.50,2,     0.02,2,     1.49,2,   2198.0,2,   2350.0,2,    1.480,    0.050,  42.7500,    39.20,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   8.5224
        TTONAS,     1,  2,     32,2,19810402,0000, 39.8050, -70.0820, 1172,    712.0,   4.7360,2,  34.9690,2,    246.0,2,    12.60,2,    18.90,2,     0.00,2,     1.23,2,   -999.0,2,   -999.0,9,    2.670,    0.060,  40.9000,    40.30,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.6791
        TTONAS,     1,  2,     33,2,19810402,0000, 39.8050, -70.0820, 1172,    813.0,   4.5840,2,  34.9630,2,    250.0,2,    12.50,2,    18.60,2,     0.00,2,     1.22,2,   2169.0,2,   2331.0,2,    2.470,    0.060,  41.3100,    44.80,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.5193
        TTONAS,     1,  2,     34,2,19810402,0000, 39.8050, -70.0820, 1172,    962.0,   4.4000,2,  34.9580,2,    251.0,2,    12.40,2,    18.30,2,     0.00,2,     1.20,2,   2171.0,2,   2339.0,2,    2.280,    0.050,  41.2500,    45.70,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.3238
        TTONAS,     1,  2,     35,2,19810402,0000, 39.8050, -70.0820, 1172,   1064.0,   4.3150,2,  34.9610,2,    259.0,2,    12.50,2,    18.30,2,     0.00,2,     1.19,2,   2168.0,2,   2337.0,2,    2.070,    0.050,  43.4200,    47.10,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.2306
        TTONAS,     1,  2,     36,2,19810402,0000, 39.8050, -70.0820, 1172,   1176.0,   4.1750,2,  34.9650,2,    263.0,2,    12.50,2,    18.10,2,     0.00,2,     1.18,2,   2169.0,2,   2339.0,2, -999.000, -999.000,  42.5000,    49.20,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.0820
        TTONAS,     2,  1,      1,2,19810403,0000, 38.8330, -69.5000, 3192,     14.0,   8.8090,2,  34.1170,2,    310.0,2,     2.20,2,     2.70,2,     0.12,2,     0.38,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   8.8075
        TTONAS,     2,  1,      2,2,19810403,0000, 38.8330, -69.5000, 3192,    156.0,  11.7540,2,  35.4790,2,    240.0,2,     5.70,2,    10.60,2,     0.38,2,     0.71,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,  11.7339
        TTONAS,     2,  1,      3,2,19810403,0000, 38.8330, -69.5000, 3192,    307.0,   9.3100,2,  35.2190,2,    150.0,2,    14.50,2,    23.50,2,     0.02,2,     1.48,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   9.2756
        TTONAS,     2,  1,      4,2,19810403,0000, 38.8330, -69.5000, 3192,    406.0,   7.1690,2,  35.0660,2,    176.0,2,    15.10,2,    23.20,2,     0.01,2,     1.49,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   7.1298
        TTONAS,     2,  1,      5,2,19810403,0000, 38.8330, -69.5000, 3192,    507.0,   5.8730,2,  35.0020,2,    209.0,2,    14.20,2,    21.10,2,     0.01,2,     1.38,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   5.8288
        TTONAS,     2,  1,      6,2,19810403,0000, 38.8330, -69.5000, 3192,    608.0,   5.1280,2,  34.9870,2,   -999.0,9,    13.30,2,    19.60,2,     0.01,2,     1.29,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   5.0780
        TTONAS,     2,  1,      7,2,19810403,0000, 38.8330, -69.5000, 3192,    709.0,   4.6890,2,  34.9690,2,    246.0,2,    12.80,2,    18.80,2,     0.13,2,  -999.00,9,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.6326
        TTONAS,     2,  1,      8,2,19810403,0000, 38.8330, -69.5000, 3192,    810.0,   4.5200,2,  34.9740,2,    252.0,2,    12.50,2,    18.50,2,     0.01,2,     1.22,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.4560
        TTONAS,     2,  1,      9,2,19810403,0000, 38.8330, -69.5000, 3192,    912.0,   4.3430,2,  34.9710,2,    258.0,2,    12.40,2,    18.30,2,     0.00,2,     1.20,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.2715
        TTONAS,     2,  1,     10,2,19810403,0000, 38.8330, -69.5000, 3192,   1011.0,   4.1690,2,  34.9620,2,    262.0,2,    12.40,2,    18.00,2,     0.00,2,     1.19,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   4.0903
        TTONAS,     2,  1,     11,2,19810403,0000, 38.8330, -69.5000, 3192,   1109.0,   4.0680,2,  34.9580,2,    265.0,2,    12.40,2,    17.90,2,     0.00,2,     1.18,2,   -999.0,2,   -999.0,9, -999.000, -999.000,-999.0000,  -999.00,   -999.0,   -999.0,9,  -999.00,  -999.00,-999,  -999.00,  -999.00,-999,     -999,     -999,-999,   3.9818
